"","","","","","","","","RJ (Bhilwara)","","RJ (Tonk–Sawai Madhopur)","","RJ (Karauli–Dholpur)","","RJ (Kota)","","UP (Fatehpur Sikri)","","MP (Morena)","","UP (Etawah)","","UP (Kanpur Urban)","","UP (Unnao)","","UP (Amethi)","","UP (Sultanpur)","","UP (Barabanki)","","UP (Ambedkar Nagar)","","UP (Lalganj)","","BR (Saran)","","BR (Hajipur)","","BR (Begusarai)","","BR (Munger)","","BR (Khagaria)","","BR (Bhagalpur)","","WB (Purulia)","","WB (Bankura)","","WB (Bishnupur)","","WB (Bardhaman–Durgapur)","","WB (Krishnanagar)","","","","","","","","","","TR (Tripura East)","","MZ (Mizoram)","","","","",""
"","","","","","","","GJ (Patan)","","GJ (Banaskantha)","","RJ (Udaipur)","","MP (Mandsaur)","","RJ (Jhalawar–Baran)","","MP (Gwalior)","","MP (Bhind)","","UP (Jalaun)","","UP (Akbarpur)","","UP (Rae Bareli)","","UP (Pratapgarh)","","UP (Bhadohi)","","UP (Azamgarh)","","UP (Salempur)","","BR (Arrah)","","BR (Pataliputra)","","BR (Patna Sahib)","","BR (Nalanda)","","BR (Jamui)","","BR (Banka)","","JH (Rajmahal)","","WB (Jhargram)","","WB (Arambag)","","WB (Bardhaman Purba)","","WB (Hooghly)","","WB (Ranaghat)","","","","","","","","TR (Tripura West)","","","","","","","",""
"GJ (Kachchh)","","GJ (Mahesana)","","GJ (Gandhinagar)","","GJ (Ahmedabad West)","","GJ (Ahmedabad East)","","GJ (Sabarkantha)","","RJ (Banswara)","","MP (Ujjain)","","MP (Rajgarh)","","MP (Guna)","","UP (Jhansi)","","UP (Hamirpur)","","UP (Fatehpur)","","UP (Phulpur)","","UP (Jaunpur)","","UP (Machhlishahr)","","UP (Ghosi)","","BR (Buxar)","","BR (Jahanabad)","","BR (Aurangabad)","","BR (Gaya)","","BR (Nawada)","","JH (Godda)","","JH (Dumka)","","WB (Medinipur)","","WB (Ghatal)","","WB (Srerampur)","","WB (Kolkata Uttar)","","WB (Barrackpur)","","WB (Bangaon)","","","","","","","","","","","","","","",""
"","GJ (Rajkot)","","GJ (Surendranagar)","","GJ (Kheda)","","GJ (Vadodara)","","GJ (Panchmahal)","","GJ (Dahod)","","MP (Ratlam)","","MP (Bhopal)","","MP (Sagar)","","MP (Tikamgarh)","","MP (Satna)","","UP (Banda)","","UP (Kaushambi)","","UP (Allahabad)","","UP (Chandauli)","","UP (Ghazipur)","","UP (Ballia)","","BR (Sasaram)","","BR (Karakat)","","JH (Chatra)","","JH (Hazaribagh)","","JH (Kodarma)","","OR (Mayurbhanj)","","WB (Kanthi)","","WB (Howrah)","","WB (Kolkata Dakshin)","","WB (Dum Dum)","","WB (Barasat)","","WB (Basirhat)","","","","","","","","","","","","","","","",""
"","","","","","","GJ (Anand)","","GJ (Bharuch)","","GJ (Surat)","","GJ (Chhota Udaipur)","","MP (Dhar)","","MP (Dewas)","","MP (Damoh)","","MP (Khajuraho)","","MP (Rewa)","","MP (Sidhi)","","MP (Shahdol)","","UP (Mirzapur)","","UP (Varanasi)","","JH (Palamau)","","JH (Lohardaga)","","JH (Ranchi)","","JH (Giridih)","","JH (Dhanbad)","","OR (Sundargarh)","","OR (Keonjhar)","","OR (Balasore)","","WB (Tamluk)","","WB (Uluberia)","","WB (Diamond Harbour)","","WB (Jadavpur)","","WB (Mathurapur)","","WB (Jaynagar)","","","","","","","","","","","","","","",""
"","","","GJ (Porbandar)","","GJ (Jamnagar)","","GJ (Bhavnagar)","","DD (Daman and Diu)","","GJ (Bardoli)","","MH (Nandurbar)","","MP (Khargone)","","MP (Indore)","","MP (Khandwa)","","MP (Betul)","","MP (Vidisha)","","MP (Hoshangabad)","","MP (Jabalpur)","","UP (Robertsganj)","","CG (Sarguja)","","CG (Raigarh)","","JH (Khunti)","","JH (Singhbhum)","","JH (Jamshedpur)","","OR (Jajpur)","","OR (Bhadrak)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","GJ (Junagadh)","","GJ (Amreli)","","","","GJ (Navsari)","","GJ (Valsad)","","MH (Dhule)","","MH (Jalgaon)","","MH (Raver)","","MH (Akola)","","MH (Amravati)","","MP (Chhindwara)","","MP (Balaghat)","","MP (Mandla)","","CG (Korba)","","CG (Janjgir)","","OR (Bargarh)","","OR (Sambalpur)","","OR (Dhenkanal)","","OR (Kendrapara)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","DH (Dadra and Nagar Haveli)","","MH (Nashik)","","MH (Dindori)","","MH (Aurangabad)","","MH (Jalna)","","MH (Buldhana)","","MH (Wardha)","","MH (Ramtek)","","MH (Nagpur)","","MH (Bhandara–Gondiya)","","CG (Bilaspur)","","CG (Raipur)","","OR (Bolangir)","","OR (Cuttack)","","OR (Bhubaneswar)","","OR (Jagatsinghpur)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","MH (Thane)","","MH (Mumbai North)","","MH (Palghar)","","MH (Bhiwandi)","","MH (Shirdi)","","MH (Ahmednagar)","","MH (Yavatmal–Washim)","","MH (Chandrapur)","","MH (Gadchiroli–Chimur)","","TS (Adilabad)","","CG (Durg)","","CG (Mahasamund)","","OR (Kalahandi)","","OR (Kandhamal)","","OR (Aska)","","OR (Puri)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","MH (Mumbai North West)","","MH (Mumbai North East)","","MH (Kalyan)","","MH (Shirur)","","MH (Beed)","","MH (Parbhani)","","MH (Hingoli)","","TS (Nizamabad)","","TS (Peddapalle)","","CG (Rajnandgaon)","","CG (Kanker)","","OR (Koraput)","","OR (Berhampur)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
